dataset_id,field_path,field_type,definition,source_ref,coder_b_value
ADNI,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/ADNI.txt,
ADNI,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/ADNI.txt,
ADNI,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/ADNI.txt,
ADNI,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/ADNI.txt,
ADNI,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/ADNI.txt,
BioASQ,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/BioASQ.txt,
BioASQ,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/BioASQ.txt,
BioASQ,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/BioASQ.txt,
BioASQ,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/BioASQ.txt,
BioASQ,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/BioASQ.txt,
BraTS 2024,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/BraTS_2024.txt,
BraTS 2024,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/BraTS_2024.txt,
BraTS 2024,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/BraTS_2024.txt,
BraTS 2024,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/BraTS_2024.txt,
BraTS 2024,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/BraTS_2024.txt,
CHB-MIT,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/CHB-MIT.txt,
CHB-MIT,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/CHB-MIT.txt,
CHB-MIT,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/CHB-MIT.txt,
CHB-MIT,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/CHB-MIT.txt,
CHB-MIT,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/CHB-MIT.txt,
CheXpert,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/CheXpert.txt,
CheXpert,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/CheXpert.txt,
CheXpert,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/CheXpert.txt,
CheXpert,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/CheXpert.txt,
CheXpert,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/CheXpert.txt,
CT-RATE,modality.modalities,set,"SET. List every atomic modality EXPLICITLY stated or directly derivable from the source text (e.g. X-ray, MRI, EHR, text, genomic). Normalize casing; merge obvious synonyms to the gold vocabulary. Do NOT infer from the catalogue.",sources/CT-RATE.txt,
CT-RATE,modality.sample_counts,counts,"COUNTS dict. Keys MUST match the gold key names EXACTLY (e.g. patients, images, admissions, questions, cells). Report only counts explicitly stated or directly computable. Omit a key if not stated; never guess.",sources/CT-RATE.txt,
CT-RATE,geography.countries,set,SET. List countries explicitly named for data collection / subject source. Leave [] if none stated. Do NOT infer region from institution alone.,sources/CT-RATE.txt,
CT-RATE,tasks_and_use.intended_tasks,set,"SET. List intended tasks explicitly stated (e.g. classification, segmentation, qa, retrieval, causal). Use the gold vocabulary; do not invent tasks.",sources/CT-RATE.txt,
CT-RATE,metadata.source_type,categorical,"CATEGORICAL, exactly one of: repository / challenge / paper-supplement / registry / other. Choose the single best label for how the dataset is distributed/published.",sources/CT-RATE.txt,
